EmpID,LastName,FirstName,TeamCode,PosCode,PlayerNo,Age,Weight,Height,YearsOfExp,College
21711,Reid,John,HST,CB,34,24,187,70,0,Penn State
29012,Redwine,Sheldrick,CLB,S,29,24,196,72,2,Miami (FL)
75927,Walker,Mykal,ATF,LB,43,23,230,75,0,Fresno State
14845,Wright,Isaiah,WAS,WR,83,23,220,74,0,Temple
66204,Williams,Darious,LAR,CB,31,27,187,69,3,UAB
43716,Greene,Raven,GBP,S,24,25,197,71,3,James Madison
91488,Moreau,Foster,LVR,TE,87,23,250,76,2,LSU
86542,Ott,Tyler,STS,LS,69,28,253,75,6,Harvard
71064,Sims,LeShaun,CNB,CB,38,27,203,72,5,Southern Utah
80947,Pringle,Byron,KCC,WR,13,26,203,73,3,Kansas State
81260,Fisher,Eric,KCC,OT,72,29,315,79,8,Central Michigan
27426,Collins,Maliek,LVR,DT,97,25,308,74,5,Nebraska
55891,Ingram III,Melvin,LAC,DE,54,31,247,74,9,South Carolina
50948,Danna,Mike,KCC,DE,51,22,261,74,0,Michigan
85493,Robinson,Alton,STS,DE,98,22,259,75,0,Syracuse
91168,Wallace,Levi,BFB,CB,39,25,179,72,3,Alabama
86425,Pride Jr.,Troy,CAP,CB,25,22,195,71,0,Notre Dame
10945,Austin,Bless,NYJ,CB,31,24,198,73,2,Rutgers
86900,Barnett,Derek,PHE,DE,96,24,259,75,4,Tennessee
46631,Skule,Justin,SFN,OT,67,23,315,78,2,Vanderbilt
76905,Smith,Alex,WAS,QB,11,36,215,76,16,Utah
55422,Johnson,KeeSean,AZC,WR,19,24,201,73,2,Fresno State
52929,Bates,Daren,TNT,LB,56,29,225,71,8,Auburn
18332,Durant,Yasir,KCC,OT,79,22,330,79,0,Missouri
80686,Davis,Khalil,TBB,DT,94,24,308,73,0,Nebraska
27004,Kirkpatrick,Dre,AZC,CB,20,31,190,74,9,Alabama
66530,Anzalone,Alex,NOS,LB,47,26,241,75,4,Florida
21886,Obada,Efe,CAP,DE,94,28,265,78,3,
27576,Reed,Chris,CAP,G,64,28,320,76,5,Minnesota State-Mankato
